step_idx	obs	direct_joint_command
30	[-0.04948046803474426, -0.39332035183906555, -0.005836796946823597, 0.33712679147720337, 0.003614442190155387, 0.7767522931098938, -0.5204470753669739, 0.04899999871850014, 0.027650782838463783, 0.019993241876363754, 0.010992362163960934, -0.1299217790365219, 0.02320295386016369, -0.12272488325834274, -0.027017146348953247, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.04440773278474808, -0.38945895433425903, -0.0034791501238942146, 0.3220384120941162, 0.008033016696572304, 0.762017011642456, -0.5254813432693481, 790.0]
31	[-0.04720059037208557, -0.3915390074253082, -0.00481861736625433, 0.32994967699050903, 0.005618204828351736, 0.7697458267211914, -0.5228285789489746, 0.04899999871850014, 0.028928732499480247, 0.02033126913011074, 0.012861751951277256, -0.1170867383480072, 0.02395239844918251, -0.11477372795343399, -0.02739732153713703, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.04192344844341278, -0.38820308446884155, -0.0023826202377676964, 0.31641194224357605, 0.009963935241103172, 0.7562774419784546, -0.5276826620101929, 790.0]
32	[-0.04504534602165222, -0.390006959438324, -0.003800437320023775, 0.323903888463974, 0.007397622335702181, 0.7638399600982666, -0.5248399972915649, 0.04899999871850014, 0.035144343972206116, 0.015813840553164482, 0.013584908097982407, -0.11338351666927338, 0.025946181267499924, -0.11766474694013596, -0.030334094539284706, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.03964490443468094, -0.3871019184589386, -0.0013494719751179218, 0.3117467761039734, 0.011668689548969269, 0.7514984607696533, -0.5294893383979797, 790.0]
33	[-0.04262165725231171, -0.38861677050590515, -0.0026806313544511795, 0.31801530718803406, 0.00937454029917717, 0.7578689455986023, -0.5270470380783081, 0.05000000074505806, 0.03507813438773155, 0.014837098307907581, 0.01380742434412241, -0.09951095283031464, 0.024615544825792313, -0.10403340309858322, -0.02638595551252365, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.037230998277664185, -0.38613057136535645, -0.00029032863676548004, 0.30697914958000183, 0.013456787914037704, 0.7466589212417603, -0.5311691761016846, 790.0]
34	[-0.040207553654909134, -0.38737809658050537, -0.0016202671686187387, 0.312934011220932, 0.011213399469852448, 0.7526937127113342, -0.5290623307228088, 0.04899999871850014, 0.03744759038090706, 0.012811057269573212, 0.014117246493697166, -0.10213569551706314, 0.025886647403240204, -0.10502910614013672, -0.02403022162616253, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.03488541021943092, -0.38500499725341797, 0.000811684294603765, 0.3031071126461029, 0.015096895396709442, 0.7426072955131531, -0.53309565782547, 790.0]
35	[-0.03778578341007233, -0.38635799288749695, -0.0005464806454256177, 0.30814605951309204, 0.013019662350416183, 0.7478309869766235, -0.5307649970054626, 0.04899999871850014, 0.04034288227558136, 0.016454370692372322, 0.016058381646871567, -0.08539291471242905, 0.02567184343934059, -0.09229455888271332, -0.031314291059970856, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.03231870383024216, -0.3843361437320709, 0.0019032330019399524, 0.29944562911987305, 0.01688891276717186, 0.7386353611946106, -0.5349718332290649, 790.0]
36	[-0.03541194647550583, -0.38527461886405945, 0.0005733253201469779, 0.3040522634983063, 0.01469361875206232, 0.743545413017273, -0.5326403379440308, 0.04899999871850014, 0.04617531597614288, 0.009240774437785149, 0.01603652536869049, -0.0792350098490715, 0.028942735865712166, -0.09107011556625366, -0.030647724866867065, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.030072204768657684, -0.3834999203681946, 0.0029182094149291515, 0.2963518798351288, 0.018315233290195465, 0.7351915836334229, -0.5365015268325806, 790.0]
37	[-0.032953742891550064, -0.3845248818397522, 0.0016125972615554929, 0.3003956079483032, 0.01643468625843525, 0.7396318316459656, -0.534500241279602, 0.04899999871850014, 0.04253510758280754, 0.012656228616833687, 0.015809549018740654, -0.06848767399787903, 0.02368648536503315, -0.08065091818571091, -0.025812985375523567, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.027770627290010452, -0.3829790949821472, 0.003911093808710575, 0.2935316264629364, 0.01978486217558384, 0.7320848703384399, -0.538081705570221, 790.0]
38	[-0.030512794852256775, -0.3837157189846039, 0.002709393622353673, 0.296930730342865, 0.018005099147558212, 0.7358754873275757, -0.5361818671226501, 0.04899999871850014, 0.047575127333402634, 0.007806132547557354, 0.016223033890128136, -0.06368124485015869, 0.026065170764923096, -0.07257808744907379, -0.028568724170327187, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.02547284960746765, -0.38223767280578613, 0.004917589016258717, 0.2908588647842407, 0.02120308205485344, 0.7291151881217957, -0.5395703315734863, 790.0]
39	[-0.02773437276482582, -0.3829774856567383, 0.00392890814691782, 0.29353490471839905, 0.01977493055164814, 0.7320424914360046, -0.5381089448928833, 0.04899999871850014, 0.049155618995428085, 0.011834768578410149, 0.01686919294297695, -0.06087370589375496, 0.02559647522866726, -0.07006300240755081, -0.027212638407945633, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.022949744015932083, -0.38151147961616516, 0.0060111964121460915, 0.2881637215614319, 0.02273459918797016, 0.7262070178985596, -0.5410777926445007, 790.0]
